Country,Year,Rice,Rank
SriLanka,1988,30367,5
Thailand,1988,21465,11
VietNam,1988,29613,6
China,1989,55005,3
India,1989,26161,10
Indonesia,1989,42470,4
Japan,1989,61679,2
Korea,1989,64456,1
Lao,1989,23552,11
Malaysia,1989,26251,9
Myanmar,1989,29174,7
Philippines,1989,27046,8
SriLanka,1989,29916,6
Thailand,1989,20853,12
VietNam,1989,32136,5
China,1990,57166,3
India,1990,26125,10
Indonesia,1990,43018,4
Japan,1990,63279,1
Korea,1990,62057,2
Lao,1990,22936,11
Malaysia,1990,27694,9
Myanmar,1990,29353,8
Philippines,1990,29786,7
SriLanka,1990,30643,6
Thailand,1990,19556,12
VietNam,1990,31815,5
China,1991,56238,3
India,1991,26271,10
Indonesia,1991,43465,4
Japan,1991,58590,2
Korea,1991,60346,1
Lao,1991,21977,12
Malaysia,1991,28178,9
Myanmar,1991,28862,7
Philippines,1991,28243,8
SriLanka,1991,30215,6
Thailand,1991,22534,11
VietNam,1991,31133,5
China,1992,57959,3
India,1992,26092,11
Indonesia,1992,43447,4
Japan,1992,62754,2
Korea,1992,63120,1
Lao,1992,26555,10
Malaysia,1992,29918,7
Myanmar,1992,29351,9
Philippines,1992,29388,8
SriLanka,1992,30544,6
Thailand,1992,21744,12
VietNam,1992,33342,5
China,1993,58462,1
India,1993,28303,10
Indonesia,1993,43750,4
Japan,1993,45783,3
Korea,1993,57330,2
Lao,1993,22668,11
Malaysia,1993,30348,8
Myanmar,1993,30552,7
Philippines,1993,28742,9
SriLanka,1993,31350,6
Thailand,1993,21700,12
VietNam,1993,34815,5
China,1994,58288,3
India,1994,28645,10
Indonesia,1994,43453,4
Japan,1994,67703,1
Korea,1994,62393,2
Lao,1994,25812,11
Malaysia,1994,30614,7
Myanmar,1994,31690,6
Philippines,1994,28866,9
SriLanka,1994,29933,8
Thailand,1994,23521,12
VietNam,1994,35657,5
China,1995,60210,3
India,1995,26972,10
Indonesia,1995,43487,4
Japan,1995,63432,1
Korea,1995,60524,2
Lao,1995,25323,11
