182,6,Food Court,1.321437,103.870006,
183,8,Housing Development,1.401252,103.745093,
184,2,Chinese Restaurant,1.280312,103.841606,
185,2,Coffee Shop,1.301939,103.905387,
186,6,Gaming Cafe,1.427076,103.826490,
187,3,Auditorium,1.334209,103.903017,
188,6,Mall,1.299129,103.855391,
189,8,Home (private),1.330857,103.908599,
190,0,General Entertainment,1.300942,103.835886,
191,8,Building,1.322344,103.868591,
192,2,Pizza Place,1.333744,103.742428,
193,7,Airport Terminal,1.355226,103.988514,
194,0,General Entertainment,1.257296,103.819048,
195,6,Miscellaneous Shop,1.263883,103.822861,
196,6,Gym,1.370670,103.888547,
197,2,Café,1.359292,103.888394,
198,6,Mall,1.392080,103.895023,
199,4,Bar,1.375219,103.898392,
200,6,Gym / Fitness Center,1.284896,103.850529,
201,2,Fried Chicken Joint,1.435688,103.786555,
202,7,Train Station,1.372859,103.949332,
203,2,Asian Restaurant,1.347521,103.872240,
204,6,Mall,1.437819,103.795411,
205,-1,,1.389541,103.877776,
206,4,Karaoke Bar,1.301167,103.836594,
207,7,Hostel,1.303784,103.859264,
208,6,Mall,1.346377,103.712918,
209,5,Lake,1.263330,103.821623,
210,2,Thai Restaurant,1.359297,103.888405,
211,2,Coffee Shop,1.311202,103.795067,
212,3,Office,1.310707,103.720333,
213,7,Bus Station,1.374146,103.961241,
214,2,Sushi Restaurant,1.304256,103.831916,
215,5,Neighborhood,1.311042,103.795627,
216,8,Building,1.352309,103.791189,
217,8,Home (private),1.321292,103.943404,
218,8,Assisted Living,1.337020,103.852391,
219,2,Gastropub,1.263112,103.822557,
220,8,Home (private),1.321690,103.873803,
221,6,Mall,1.305468,103.831065,
222,2,Japanese Restaurant,1.304757,103.831405,
223,6,Furniture / Home Store,1.288167,103.805480,
224,2,Chinese Restaurant,1.314882,103.890829,
225,6,Grocery Store,1.324678,103.941270,
226,7,Bus Station,1.384615,103.900616,
227,2,Coffee Shop,1.369965,103.957225,
228,2,Fast Food Restaurant,1.337067,103.779339,
229,8,Home (private),1.368476,103.885401,
230,4,Bar,1.303076,103.833332,
231,2,Indian Restaurant,1.276328,103.835249,
232,2,Coffee Shop,1.332650,103.849198,
233,4,Hotel Bar,1.295010,103.853996,
234,2,Indian Restaurant,1.364399,103.865986,
235,6,Mall,1.303789,103.833120,
236,2,Café,1.302250,103.859565,
237,6,Mall,1.293959,103.853363,
238,4,Pub,1.288137,103.848762,
239,2,Dessert Shop,1.297879,103.856530,
240,2,Asian Restaurant,1.436646,103.786889,
241,6,Gas Station / Garage,1.277151,103.790513,
242,6,Grocery Store,1.372559,103.932080,
243,2,Asian Restaurant,1.353493,103.834275,
244,4,Nightlife Spot,1.300325,103.842314,
245,3,Police Station,1.317181,103.766588,
246,7,Airport Terminal,1.355462,103.988965,
247,0,Movie Theater,1.435904,103.785911,
248,8,Residential Building (Apartment / Condo),1.443275,103.796781,
249,8,Home (private),1.434873,103.769469,
250,-1,,1.419398,103.835197,
251,-1,,1.377414,103.896419,
252,7,Bus Line,1.396863,103.830017,
253,4,Wine Bar,1.306950,103.906370,
254,8,Residential Building (Apartment / Condo),1.378166,103.770566,
255,2,Sandwich Place,1.392552,103.894830,
256,5,Pool,1.296576,103.802390,
257,-1,,1.233127,103.686129,
258,7,Bus Station,1.377957,103.896566,
259,8,Home (private),1.377853,103.885401,
260,2,Restaurant,1.305403,103.930065,
261,2,Café,1.299477,103.855292,
262,7,Bus Station,1.369084,103.960201,
263,5,Basketball Court,1.395112,103.913558,
264,7,Bus Station,1.437455,103.786730,
265,8,Residential Building (Apartment / Condo),1.367046,103.897018,
266,8,Housing Development,1.328980,103.909142,
267,2,Italian Restaurant,1.294024,103.853878,
268,6,Grocery Store,1.352874,103.944092,
269,4,Nightclub,1.295156,103.852199,
270,0,Multiplex,1.298915,103.847644,
271,2,Chinese Restaurant,1.369153,103.849000,
272,2,Burger Joint,1.391908,103.895001,
273,6,Mall,1.301392,103.905467,
274,8,Housing Development,1.368666,103.847324,
275,2,Seafood Restaurant,1.311261,103.788853,
276,7,Bus Station,1.366284,103.961166,
277,6,Grocery Store,1.377976,103.738847,
278,8,Building,1.322307,103.868534,
279,8,Housing Development,1.374283,103.850750,
280,5,Neighborhood,1.331275,103.948103,
281,2,Fast Food Restaurant,1.380640,103.849108,
282,7,Train Station,1.315291,103.765206,
283,8,Housing Development,1.327302,103.722528,
284,2,Ramen / Noodle House,1.345833,103.871490,
285,-1,,1.349676,103.848213,
286,8,Housing Development,1.358583,103.846883,
287,5,Basketball Court,1.375273,103.883817,
288,6,Gym,1.374575,103.715186,
289,6,Mall,1.298582,103.845938,
290,8,Home (private),1.321690,103.873803,
291,6,Mall,1.285280,103.844590,
292,6,Food Court,1.376824,103.773393,
293,8,Home (private),1.303352,103.804238,
294,2,Café,1.299019,103.847766,
295,0,Multiplex,1.339952,103.706088,
296,2,Café,1.347401,103.867521,
297,6,Food Court,1.331822,103.938619,
298,2,Japanese Restaurant,1.300642,103.839887,
299,2,Asian Restaurant,1.279834,103.839721,
300,6,Mall,1.300304,103.844887,
301,6,Food Court,1.351000,103.835564,
302,2,Coffee Shop,1.298570,103.855070,
303,2,Indian Restaurant,1.353738,103.834206,
304,2,Coffee Shop,1.315284,103.883642,
305,5,Beach,1.309147,103.942208,
306,2,Dessert Shop,1.312483,103.877267,
307,7,General Travel,1.356376,103.986618,
308,8,Housing Development,1.344159,103.690986,
309,8,Home (private),1.396543,103.896999,
310,8,Residential Building (Apartment / Condo),1.353032,103.878110,
311,2,Indian Restaurant,1.342956,103.775257,
312,8,Building,1.443829,103.805045,
313,6,Smoke Shop,1.300784,103.859191,
314,8,Home (private),1.302898,103.885401,
315,7,Subway,1.404468,103.902318,
