id,Year,cases
TO,1962,18.36
TR,1962,32.58
TT,1962,16.1
TZ,1962,5.52
UA,1962,48.32
UG,1962,4.84
US,1962,70.76
UY,1962,80.64
UZ,1962,34.52
VC,1962,16.26
VE,1962,63.76
VI,1962,59.22
VN,1962,15.38
VU,1962,10.76
WS,1962,19.06
YE,1962,9.86
ZA,1962,46.84
ZM,1962,20.22
ZW,1962,13.4
AD,1963,65.64
AE,1963,74.82
AF,1963,8.84
AG,1963,37.84
AL,1963,31
AM,1963,53.88
AN,1963,71.62
AO,1963,11.66
AR,1963,75.28
AS,1963,67.46
AT,1963,64.88
AU,1963,82.7
AW,1963,50.74
AZ,1963,48.36
BA,1963,21.28
BB,1963,36.98
BD,1963,5.76
BE,1963,92.86
BF,1963,5
BG,1963,42.32
BH,1963,82.42
BI,1963,2.12
BJ,1963,11.22
BM,1963,100
BN,1963,48.92
BO,1963,37.7
BR,1963,48.14
BS,1963,61.86
BT,1963,4.26
BW,1963,3.52
BY,1963,35.82
BZ,1963,53.1
CA,1963,71.38
CD,1963,24.58
CF,1963,22.14
CG,1963,33.82
CH,1963,52.92
CI,1963,21.78
CL,1963,70.14
CM,1963,15.7
CN,1963,16.96
CO,1963,48.6
CR,1963,35.2
CU,1963,58.94
CV,1963,17.54
CY,1963,37.16
CZ,1963,61
DE,1963,71.76
DJ,1963,53.78
DK,1963,75.68
DM,1963,32.88
DO,1963,33.08
DZ,1963,34.76
EC,1963,35.52
EE,1963,59.78
EG,1963,39.58
ER,1963,10.76
ES,1963,59.42
ET,1963,7.12
FI,1963,41.58
FJ,1963,31.44
FM,1963,23.02
FO,1963,23.92
FR,1963,65.02
GA,1963,21.24
GB,1963,78.04
GD,1963,30.9
GE,1963,43.86
GH,1963,24.98
GL,1963,63.06
GM,1963,13.54
GN,1963,12
GQ,1963,26.1
GR,1963,45.66
GT,1963,32.84
GU,1963,53.34
GW,1963,14.02
GY,1963,29.12
HK,1963,85.92
HN,1963,24.5
HR,1963,33.08
HT,1963,16.8
HU,1963,57.16
ID,1963,15.32
IE,1963,47.54
IL,1963,79.26
IM,1963,55.82
IN,1963,18.44
IQ,1963,47.58
IR,1963,35.74
IS,1963,81.74
IT,1963,60.84
JM,1963,36.02
JO,1963,52.94
JP,1963,45.68
KE,1963,8.12
KG,1963,35.22
KH,1963,10.6
KI,1963,18.28
KM,1963,15.24
KN,1963,29.58
KP,1963,43.14
KR,1963,30.52
KW,1963,77.54
KY,1963,100
KZ,1963,45.88
LA,1963,8.14
LB,1963,47.46
LC,1963,22.22
LI,1963,19.86
LK,1963,17.12
LR,1963,20.7
LS,1963,5.14
LT,1963,42.5
LU,1963,71.04
LV,1963,55.24
LY,1963,31.14
MA,1963,30.9
MC,1963,100
MD,1963,25.92
ME,1963,21.08
MG,1963,11.68
MH,1963,39.86
MK,1963,37.84
ML,1963,12
MM,1963,20.28
MN,1963,39.54
MO,1963,95.84
MP,1963,55.76
MR,1963,8.82
MT,1963,89.92
MU,1963,35.48
MV,1963,11.38
MW,1963,4.7
MX,1963,53.26
MY,1963,28.58
MZ,1963,4.24
NA,1963,19.16
NC,1963,41.72
NE,1963,6.4
NG,1963,18.54
NI,1963,41.46
NL,1963,60.4
NO,1963,54.52
NP,1963,3.62
NZ,1963,77.74
OM,1963,19.94
PA,1963,43.12
PE,1963,49.86
PF,1963,45.88
PG,1963,4.78
PH,1963,31.08
PK,1963,22.94
PL,1963,49.22
PR,1963,48.7
PT,1963,36.14
PW,1963,57.7
PY,1963,35.96
QA,1963,86.4
RO,1963,36.3
RS,1963,-1
RU,1963,56.56
RW,1963,2.64
SA,1963,35.8
SB,1963,6.64
SC,1963,30.94
SD,1963,12.32
SE,1963,75.26
SG,1963,100
SI,1963,30.78
SK,1963,35.6
SL,1963,19.08
SM,1963,52.2
SN,1963,25.04
SO,1963,18.92
SR,1963,47.18
ST,1963,19.52
SV,1963,38.66
SY,1963,38.72
SZ,1963,5.46
TD,1963,7.72
TG,1963,13.04
TH,1963,20
TJ,1963,34.4
TL,1963,10.88
TM,1963,46.82
TN,1963,38.82
TO,1963,18.74
TR,1963,33.12
TT,1963,15.5
TZ,1963,5.68
UA,1963,49.08
UG,1963,5.06
US,1963,71.14
UY,1963,80.86
UZ,1963,34.78
VC,1963,17.44
VE,1963,64.84
VI,1963,60.58
VN,1963,15.72
VU,1963,10.94
WS,1963,19.14
YE,1963,10.24
ZA,1963,46.96
ZM,1963,21.28
ZW,1963,13.8
AD,1964,68.02
AE,1964,75.26
AF,1964,9.12
AG,1964,37.22
AL,1964,31.1
AM,1964,54.74
AN,1964,72.26
AO,1964,12.08
AR,1964,75.84
AS,1964,67.88
