id,Year,cases
PH,1963,28.084820
PL,1963,7.797295
PT,1963,48.663196
PR,1963,55.642019
RO,1963,15.975428
RU,1963,9.181280
RW,1963,-1.000000
SA,1963,11.182024
SN,1963,50.797683
RS,1963,-1.000000
SL,1963,28.807046
SG,1963,99.790752
SO,1963,20.360957
ZA,1963,13.833527
ES,1963,14.372677
SD,1963,27.102014
SE,1963,15.917920
CH,1963,19.225360
SY,1963,27.643067
TZ,1963,32.266986
TH,1963,39.624460
TG,1963,56.753260
TN,1963,26.234670
TR,1963,17.372005
UG,1963,48.416511
UA,1963,5.940976
AE,1963,50.105239
GB,1963,19.156775
US,1963,10.965822
UY,1963,61.395397
UZ,1963,32.546298
VE,1963,27.643240
VN,1963,26.997688
YE,1963,14.372426
ZM,1963,17.744041
ZW,1963,50.448663
AF,1964,36.957772
DZ,1964,24.589492
AO,1964,44.783449
AR,1964,42.929227
AM,1964,53.320962
AU,1964,25.182243
AT,1964,34.683692
AZ,1964,51.244176
BD,1964,20.823911
BY,1964,21.635978
BE,1964,17.410391
BJ,1964,35.252318
BO,1964,35.663939
BR,1964,12.756016
BG,1964,21.879936
BF,1964,29.886455
KH,1964,65.983590
CM,1964,19.741555
CA,1964,14.516807
TD,1964,39.006869
CL,1964,37.191328
CN,1964,5.322542
CO,1964,18.697071
CD,1964,15.088810
CG,1964,41.367662
CR,1964,50.417120
CI,1964,29.499499
CU,1964,33.979150
CZ,1964,17.172792
DK,1964,37.589225
DO,1964,36.291603
EC,1964,31.046868
EG,1964,36.423532
SV,1964,30.830184
ET,1964,31.775030
FI,1964,24.284469
FR,1964,24.643370
GE,1964,40.027780
DE,1964,6.008614
GH,1964,24.325153
GR,1964,51.851281
GT,1964,37.611075
GN,1964,43.611060
HT,1964,43.981170
HN,1964,27.948086
HK,1964,102.578772
HU,1964,31.982335
IN,1964,3.074101
ID,1964,20.144168
IR,1964,27.099470
IQ,1964,35.775199
IE,1964,51.413816
IL,1964,43.130809
IT,1964,8.566108
JP,1964,42.845022
JO,1964,49.860492
KZ,1964,11.256932
KE,1964,49.629880
KP,1964,13.997341
KR,1964,36.564723
KW,1964,82.616547
KG,1964,34.204205
LA,1964,68.198091
LB,1964,66.887228
LR,1964,44.503969
LY,1964,41.996581
MG,1964,42.576106
MW,1964,7.666826
MY,1964,14.201279
ML,1964,22.749114
MX,1964,27.803390
MN,1964,55.084282
MA,1964,28.360529
MZ,1964,65.834995
MM,1964,36.359050
NP,1964,33.750694
NL,1964,12.773831
NZ,1964,25.231358
NI,1964,29.964434
NE,1964,32.854405
NG,1964,11.409113
NO,1964,29.163635
PK,1964,19.205178
PA,1964,61.909298
PY,1964,58.149985
PE,1964,38.191261
PH,1964,28.216075
PL,1964,7.719881
PT,1964,48.831905
PR,1964,55.381000
RO,1964,16.026155
RU,1964,9.061915
RW,1964,-1.000000
SA,1964,11.669951
SN,1964,50.653419
RS,1964,-1.000000
SL,1964,29.402913
SG,1964,99.714929
SO,1964,21.332164
ZA,1964,13.790864
ES,1964,14.558260
SD,1964,27.009067
SE,1964,16.377904
CH,1964,19.237865
SY,1964,27.447767
TZ,1964,32.764319
TH,1964,39.678226
TG,1964,55.300005
TN,1964,25.737209
TR,1964,17.822806
UG,1964,49.383100
UA,1964,5.994539
AE,1964,47.606500
GB,1964,18.878771
US,1964,10.907030
UY,1964,60.890180
UZ,1964,32.383784
VE,1964,27.405439
VN,1964,26.879948
YE,1964,14.166441
ZM,1964,18.488366
ZW,1964,49.880086
AF,1965,36.973362
DZ,1965,24.121845
AO,1965,45.788527
AR,1965,42.857202
AM,1965,52.840081
AU,1965,25.136492
AT,1965,34.444595
AZ,1965,50.710090
BD,1965,21.725828
BY,1965,21.916102
BE,1965,17.334604
BJ,1965,35.863264
BO,1965,35.697614
BR,1965,12.952255
BG,1965,21.448418
BF,1965,30.753341
KH,1965,65.734908
CM,1965,20.044598
CA,1965,14.589507
TD,1965,39.305061
CL,1965,36.976129
CN,1965,5.106857
CO,1965,18.803136
CD,1965,15.694617
CG,1965,42.084111
CR,1965,50.612584
CI,1965,29.944925
CU,1965,33.893450
CZ,1965,17.123738
DK,1965,37.478041
DO,1965,36.390183
EC,1965,30.958752
EG,1965,36.871029
SV,1965,31.239304
ET,1965,30.861298
FI,1965,23.848471
FR,1965,24.354803
GE,1965,39.937637
DE,1965,5.935087
GH,1965,24.343185
GR,1965,52.232293
GT,1965,36.774895
GN,1965,46.447766
HT,1965,44.816404
HN,1965,27.993883
HK,1965,102.638287
HU,1965,31.889946
IN,1965,3.105368
ID,1965,20.068480
IR,1965,27.443760
IQ,1965,36.858805
IE,1965,51.630930
IL,1965,42.521487
IT,1965,8.632819
JP,1965,43.277441
JO,1965,48.861559
KZ,1965,11.184695
KE,1965,49.388169
KP,1965,13.840495
KR,1965,37.345603
KW,1965,81.076457
KG,1965,34.893193
LA,1965,66.344169
LB,1965,65.921993
LR,1965,44.423221
LY,1965,42.997376
MG,1965,41.698429
MW,1965,8.483472
MY,1965,13.856738
ML,1965,22.707887
MX,1965,28.084508
MN,1965,53.915158
MA,1965,28.381329
MZ,1965,66.545192
MM,1965,35.656336
NP,1965,33.434922
NL,1965,12.602403
NZ,1965,25.658117
NI,1965,30.491447
NE,1965,33.298987
NG,1965,11.205123
NO,1965,28.459212
PK,1965,19.464425
PA,1965,62.147278
PY,1965,58.497248
PE,1965,38.369773
PH,1965,28.356170
PL,1965,7.678040
PT,1965,49.190188
PR,1965,55.382773
RO,1965,16.093966
RU,1965,8.946045
RW,1965,50.344818
SA,1965,12.193768
SN,1965,50.427875
RS,1965,-1.000000
SL,1965,30.025184
SG,1965,99.644674
SO,1965,22.960566
ZA,1965,13.764104
ES,1965,14.747991
SD,1965,26.956541
SE,1965,16.817482
CH,1965,19.348843
SY,1965,27.243306
TZ,1965,33.284263
TH,1965,39.740463
TG,1965,53.647339
TN,1965,25.235214
TR,1965,18.287634
UG,1965,50.444602
UA,1965,6.053946
AE,1965,45.950752
GB,1965,18.608576
US,1965,10.863521
UY,1965,60.421187
UZ,1965,32.263029
VE,1965,27.201896
VN,1965,26.761710
YE,1965,13.987150
ZM,1965,19.297448
ZW,1965,49.359520
AF,1966,36.865482
DZ,1966,24.225808
AO,1966,46.568320
AR,1966,42.840174
AM,1966,52.465549
AU,1966,25.023006
AT,1966,34.147314
AZ,1966,50.263798
BD,1966,22.480079
BY,1966,22.199140
BE,1966,17.294994
BJ,1966,35.580638
BO,1966,35.728839
BR,1966,13.166991
BG,1966,21.170232
BF,1966,31.638521
KH,1966,60.223292
CM,1966,20.278530
CA,1966,14.703963
TD,1966,38.373543
CL,1966,36.850373
CN,1966,4.944985
CO,1966,19.077978
CD,1966,16.272912
CG,1966,42.792795
CR,1966,50.473138
CI,1966,31.247253
CU,1966,33.838585
CZ,1966,17.090377
DK,1966,37.039066
DO,1966,36.460373
EC,1966,30.878587
EG,1966,37.505283
SV,1966,31.701405
ET,1966,30.160232
FI,1966,23.364835
FR,1966,24.183614
GE,1966,39.906183
DE,1966,5.876910
GH,1966,24.424167
GR,1966,52.406081
GT,1966,36.265000
GN,1966,49.112114
