Country,Year,Rice
Indonesia,1994,43453
Japan,1994,67703
Korea,1994,62393
Lao,1994,25812
Malaysia,1994,30614
Myanmar,1994,31690
Philippines,1994,28866
SriLanka,1994,29933
Thailand,1994,23521
VietNam,1994,35657
China,1995,60210
India,1995,26972
Indonesia,1995,43487
Japan,1995,63432
Korea,1995,60524
Lao,1995,25323
Malaysia,1995,31619
Myanmar,1995,29766
Philippines,1995,28043
SriLanka,1995,31586
Thailand,1995,24158
VietNam,1995,36898
China,1996,62050
India,1996,28226
Indonesia,1996,44168
Japan,1996,65402
Korea,1996,67888
Lao,1996,25526
Malaysia,1996,32510
Myanmar,1996,30649
Philippines,1996,28558
SriLanka,1996,31231
Thailand,1996,24097
VietNam,1996,37689
China,1997,63111
India,1997,28457
Indonesia,1997,44322
Japan,1997,64163
Korea,1997,69529
Lao,1997,27607
Malaysia,1997,30676
Myanmar,1997,30789
Philippines,1997,29326
SriLanka,1997,32451
Thailand,1997,23787
VietNam,1997,38768
China,1998,63529
India,1998,28805
Indonesia,1998,41974
Japan,1998,62188
Korea,1998,64169
Lao,1998,27116
Malaysia,1998,28829
Myanmar,1998,31286
Philippines,1998,26984
SriLanka,1998,35102
Thailand,1998,24654
VietNam,1998,39585
China,1999,63344
India,1999,29782
Indonesia,1999,42519
Japan,1999,64143
Korea,1999,65961
Lao,1999,29304
Malaysia,1999,29415
Myanmar,1999,32405
Philippines,1999,29468
SriLanka,1999,32810
Thailand,1999,24245
VietNam,1999,41018
China,2000,62642
India,2000,28508
Indonesia,2000,44007
Japan,2000,67023
Korea,2000,67110
Lao,2000,30606
Malaysia,2000,30640
Myanmar,2000,33834
Philippines,2000,30681
SriLanka,2000,34374
Thailand,2000,26128
VietNam,2000,42432
China,2001,61524
India,2001,31158
Indonesia,2001,43879
Japan,2001,66354
Korea,2001,68381
Lao,2001,31264
Malaysia,2001,31102
Myanmar,2001,34177
Philippines,2001,31866
SriLanka,2001,35228
Thailand,2001,27687
VietNam,2001,42853
China,2002,61855
India,2002,26163
Indonesia,2002,44691
Japan,2002,65823
Korea,2002,63495
Lao,2002,32739
Malaysia,2002,32385
Myanmar,2002,34172
Philippines,2002,32797
SriLanka,2002,34889
Thailand,2002,28996
VietNam,2002,45903
China,2003,60606
India,2003,31177
Indonesia,2003,45426
Japan,2003,58499
Korea,2003,59201
Lao,2003,31404
Malaysia,2003,33596
Myanmar,2003,35457
Philippines,2003,33696
SriLanka,2003,33696
Thailand,2003,28998
VietNam,2003,46387
China,2004,63085
India,2004,29756
Indonesia,2004,45365
Japan,2004,64151
Korea,2004,67291
Lao,2004,32831
Malaysia,2004,33260
Myanmar,2004,38175
Philippines,2004,35130
SriLanka,2004,36516
Thailand,2004,28559
VietNam,2004,48553
China,2005,62527
India,2005,31537
Indonesia,2005,45739
Japan,2005,66483
Korea,2005,65682
Lao,2005,34890
Malaysia,2005,34221
Myanmar,2005,37491
Philippines,2005,35876
SriLanka,2005,35465
Thailand,2005,29625
VietNam,2005,48891
China,2006,62763
India,2006,31759
Indonesia,2006,46201
Japan,2006,63359
Korea,2006,67114
Lao,2006,35855
Malaysia,2006,33907
Myanmar,2006,38301
Philippines,2006,36844
SriLanka,2006,36705
Thailand,2006,29160
VietNam,2006,48943
China,2007,64223
India,2007,32924
Indonesia,2007,47052
Japan,2007,65111
Korea,2007,63541
Lao,2007,37233
Malaysia,2007,35277
Myanmar,2007,39260
Philippines,2007,38008
SriLanka,2007,38337
Thailand,2007,30087
VietNam,2007,49869
China,2008,65535
India,2008,34169
Indonesia,2008,48948
Japan,2008,67786
Korea,2008,73942
Lao,2008,37772
Malaysia,2008,35836
Myanmar,2008,40323
Philippines,2008,37703
SriLanka,2008,36800
Thailand,2008,29626
VietNam,2008,52336
China,2009,65820
India,2009,31947
Indonesia,2009,49985
Japan,2009,65209
Korea,2009,75967
Lao,2009,38419
Malaysia,2009,36591
Myanmar,2009,40853
Philippines,2009,35890
SriLanka,2009,37374
Thailand,2009,28826
VietNam,2009,52372
China,2010,65482
India,2010,32644
Indonesia,2010,50144
Japan,2010,65111
Korea,2010,65062
Lao,2010,34552
Malaysia,2010,37818
Myanmar,2010,41239
Philippines,2010,36222
SriLanka,2010,40558
Thailand,2010,28751
VietNam,2010,53221
